Above Median?,Date,Lower CI,Median,Number of Records,Upper CI,Year
below median,6/1/1886,-0.33,-0.39,1,-0.44,1886/06
below median,7/1/1886,-0.23,-0.29,1,-0.34,1886/07
below median,8/1/1886,-0.29,-0.34,1,-0.39,1886/08
below median,9/1/1886,-0.38,-0.43,1,-0.48,1886/09
below median,10/1/1886,-0.31,-0.36,1,-0.42,1886/10
below median,11/1/1886,-0.37,-0.42,1,-0.49,1886/11
below median,12/1/1886,-0.36,-0.43,1,-0.49,1886/12
below median,1/1/1887,-0.51,-0.57,1,-0.63,1887/01
below median,2/1/1887,-0.50,-0.56,1,-0.62,1887/02
below median,3/1/1887,-0.40,-0.46,1,-0.52,1887/03
below median,4/1/1887,-0.38,-0.44,1,-0.49,1887/04
below median,5/1/1887,-0.30,-0.35,1,-0.44,1887/05
below median,6/1/1887,-0.35,-0.41,1,-0.47,1887/06
below median,7/1/1887,-0.21,-0.27,1,-0.33,1887/07
below median,8/1/1887,-0.32,-0.37,1,-0.42,1887/08
below median,9/1/1887,-0.29,-0.34,1,-0.40,1887/09
below median,10/1/1887,-0.45,-0.51,1,-0.56,1887/10
below median,11/1/1887,-0.36,-0.41,1,-0.47,1887/11
below median,12/1/1887,-0.34,-0.40,1,-0.46,1887/12
below median,1/1/1888,-0.54,-0.60,1,-0.67,1888/01
below median,2/1/1888,-0.40,-0.45,1,-0.52,1888/02
below median,3/1/1888,-0.49,-0.54,1,-0.62,1888/03
below median,4/1/1888,-0.19,-0.24,1,-0.30,1888/04
below median,5/1/1888,-0.29,-0.35,1,-0.43,1888/05
below median,6/1/1888,-0.25,-0.29,1,-0.35,1888/06
below median,7/1/1888,-0.24,-0.31,1,-0.37,1888/07
below median,8/1/1888,-0.23,-0.28,1,-0.34,1888/08
below median,9/1/1888,-0.17,-0.22,1,-0.28,1888/09
below median,10/1/1888,-0.05,-0.11,1,-0.16,1888/10
below median,11/1/1888,-0.15,-0.20,1,-0.26,1888/11
below median,12/1/1888,-0.12,-0.18,1,-0.25,1888/12
below median,1/1/1889,0.01,-0.05,1,-0.12,1889/01
below median,2/1/1889,-0.04,-0.10,1,-0.17,1889/02
below median,3/1/1889,-0.01,-0.07,1,-0.14,1889/03
above median,4/1/1889,0.07,0.01,1,-0.05,1889/04
below median,5/1/1889,-0.02,-0.08,1,-0.17,1889/05
below median,6/1/1889,-0.09,-0.15,1,-0.22,1889/06
below median,7/1/1889,-0.13,-0.20,1,-0.27,1889/07
below median,8/1/1889,-0.18,-0.23,1,-0.29,1889/08
below median,9/1/1889,-0.33,-0.38,1,-0.45,1889/09
below median,10/1/1889,-0.24,-0.30,1,-0.36,1889/10
below median,11/1/1889,-0.34,-0.40,1,-0.47,1889/11
below median,12/1/1889,-0.12,-0.18,1,-0.25,1889/12
below median,1/1/1890,-0.27,-0.32,1,-0.39,1890/01
below median,2/1/1890,-0.30,-0.37,1,-0.45,1890/02
below median,3/1/1890,-0.40,-0.46,1,-0.53,1890/03
below median,4/1/1890,-0.25,-0.32,1,-0.38,1890/04
below median,5/1/1890,-0.36,-0.43,1,-0.52,1890/05
below median,6/1/1890,-0.32,-0.38,1,-0.45,1890/06
below median,7/1/1890,-0.34,-0.41,1,-0.50,1890/07
below median,8/1/1890,-0.37,-0.42,1,-0.49,1890/08
below median,9/1/1890,-0.43,-0.48,1,-0.55,1890/09
below median,10/1/1890,-0.44,-0.50,1,-0.57,1890/10
below median,11/1/1890,-0.51,-0.57,1,-0.64,1890/11
below median,12/1/1890,-0.35,-0.41,1,-0.49,1890/12
below median,1/1/1891,-0.45,-0.52,1,-0.59,1891/01
below median,2/1/1891,-0.40,-0.47,1,-0.55,1891/02
below median,3/1/1891,-0.31,-0.37,1,-0.45,1891/03
below median,4/1/1891,-0.30,-0.36,1,-0.43,1891/04
below median,5/1/1891,-0.15,-0.21,1,-0.31,1891/05
below median,6/1/1891,-0.23,-0.30,1,-0.38,1891/06
below median,7/1/1891,-0.26,-0.33,1,-0.41,1891/07
below median,8/1/1891,-0.26,-0.32,1,-0.40,1891/08
below median,9/1/1891,-0.15,-0.20,1,-0.29,1891/09
below median,10/1/1891,-0.27,-0.33,1,-0.41,1891/10
below median,11/1/1891,-0.49,-0.55,1,-0.62,1891/11
below median,12/1/1891,-0.06,-0.12,1,-0.21,1891/12
below median,1/1/1892,-0.35,-0.41,1,-0.49,1892/01
below median,2/1/1892,-0.06,-0.12,1,-0.20,1892/02
below median,3/1/1892,-0.40,-0.46,1,-0.54,1892/03
below median,4/1/1892,-0.42,-0.48,1,-0.55,1892/04
below median,5/1/1892,-0.34,-0.40,1,-0.50,1892/05
below median,6/1/1892,-0.39,-0.47,1,-0.54,1892/06
below median,7/1/1892,-0.46,-0.54,1,-0.61,1892/07
below median,8/1/1892,-0.38,-0.45,1,-0.53,1892/08
below median,9/1/1892,-0.28,-0.33,1,-0.40,1892/09
below median,10/1/1892,-0.38,-0.44,1,-0.53,1892/10
below median,11/1/1892,-0.56,-0.63,1,-0.70,1892/11
below median,12/1/1892,-0.73,-0.79,1,-0.88,1892/12
below median,1/1/1893,-0.90,-0.96,1,-1.04,1893/01
below median,2/1/1893,-0.66,-0.72,1,-0.81,1893/02
below median,3/1/1893,-0.31,-0.37,1,-0.46,1893/03
below median,4/1/1893,-0.51,-0.56,1,-0.64,1893/04
below median,5/1/1893,-0.49,-0.55,1,-0.65,1893/05
below median,6/1/1893,-0.40,-0.46,1,-0.54,1893/06
below median,7/1/1893,-0.21,-0.28,1,-0.36,1893/07
below median,8/1/1893,-0.23,-0.29,1,-0.37,1893/08
below median,9/1/1893,-0.39,-0.44,1,-0.51,1893/09
below median,10/1/1893,-0.21,-0.27,1,-0.35,1893/10
below median,11/1/1893,-0.35,-0.42,1,-0.48,1893/11
below median,12/1/1893,-0.29,-0.35,1,-0.43,1893/12
below median,1/1/1894,-0.40,-0.45,1,-0.53,1894/01
below median,2/1/1894,-0.32,-0.38,1,-0.47,1894/02
below median,3/1/1894,-0.31,-0.38,1,-0.47,1894/03
below median,4/1/1894,-0.32,-0.38,1,-0.45,1894/04
below median,5/1/1894,-0.36,-0.43,1,-0.53,1894/05
below median,6/1/1894,-0.43,-0.49,1,-0.57,1894/06
below median,7/1/1894,-0.24,-0.32,1,-0.40,1894/07
below median,8/1/1894,-0.29,-0.34,1,-0.43,1894/08
below median,9/1/1894,-0.41,-0.47,1,-0.54,1894/09
below median,10/1/1894,-0.38,-0.44,1,-0.53,1894/10
below median,11/1/1894,-0.36,-0.42,1,-0.50,1894/11
below median,12/1/1894,-0.35,-0.40,1,-0.48,1894/12
below median,1/1/1895,-0.44,-0.50,1,-0.57,1895/01
below median,2/1/1895,-0.62,-0.68,1,-0.76,1895/02
below median,3/1/1895,-0.46,-0.53,1,-0.62,1895/03
below median,4/1/1895,-0.34,-0.41,1,-0.48,1895/04
below median,5/1/1895,-0.35,-0.42,1,-0.51,1895/05
below median,6/1/1895,-0.26,-0.33,1,-0.42,1895/06
below median,7/1/1895,-0.28,-0.36,1,-0.45,1895/07
below median,8/1/1895,-0.21,-0.27,1,-0.34,1895/08
below median,9/1/1895,-0.24,-0.29,1,-0.36,1895/09
below median,10/1/1895,-0.29,-0.34,1,-0.41,1895/10
below median,11/1/1895,-0.24,-0.30,1,-0.37,1895/11
below median,12/1/1895,-0.26,-0.32,1,-0.40,1895/12
below median,1/1/1896,-0.16,-0.22,1,-0.30,1896/01
below median,2/1/1896,-0.17,-0.23,1,-0.32,1896/02
below median,3/1/1896,-0.32,-0.38,1,-0.47,1896/03
below median,4/1/1896,-0.29,-0.35,1,-0.42,1896/04
below median,5/1/1896,-0.14,-0.21,1,-0.31,1896/05
below median,6/1/1896,-0.06,-0.12,1,-0.21,1896/06
below median,7/1/1896,-0.05,-0.11,1,-0.19,1896/07
below median,8/1/1896,-0.02,-0.07,1,-0.14,1896/08
below median,9/1/1896,-0.06,-0.11,1,-0.18,1896/09
below median,10/1/1896,-0.07,-0.13,1,-0.20,1896/10
below median,11/1/1896,-0.23,-0.29,1,-0.37,1896/11
below median,12/1/1896,0.03,-0.03,1,-0.11,1896/12
below median,1/1/1897,-0.13,-0.20,1,-0.28,1897/01
below median,2/1/1897,-0.06,-0.12,1,-0.21,1897/02
below median,3/1/1897,-0.21,-0.28,1,-0.36,1897/03
below median,4/1/1897,-0.01,-0.07,1,-0.14,1897/04
below median,5/1/1897,0.03,-0.03,1,-0.12,1897/05
below median,6/1/1897,-0.10,-0.16,1,-0.25,1897/06
below median,7/1/1897,-0.09,-0.17,1,-0.24,1897/07
below median,8/1/1897,-0.10,-0.16,1,-0.23,1897/08
below median,9/1/1897,-0.09,-0.14,1,-0.21,1897/09
below median,10/1/1897,-0.20,-0.26,1,-0.33,1897/10
below median,11/1/1897,-0.39,-0.46,1,-0.52,1897/11
below median,12/1/1897,-0.42,-0.48,1,-0.57,1897/12
below median,1/1/1898,-0.02,-0.08,1,-0.16,1898/01
below median,2/1/1898,-0.32,-0.38,1,-0.46,1898/02
below median,3/1/1898,-0.69,-0.75,1,-0.84,1898/03
below median,4/1/1898,-0.50,-0.57,1,-0.64,1898/04
below median,5/1/1898,-0.41,-0.47,1,-0.57,1898/05
below median,6/1/1898,-0.26,-0.32,1,-0.40,1898/06
below median,7/1/1898,-0.31,-0.38,1,-0.46,1898/07
below median,8/1/1898,-0.25,-0.31,1,-0.38,1898/08
below median,9/1/1898,-0.28,-0.34,1,-0.41,1898/09
below median,10/1/1898,-0.50,-0.56,1,-0.63,1898/10
below median,11/1/1898,-0.38,-0.45,1,-0.52,1898/11
below median,12/1/1898,-0.30,-0.36,1,-0.44,1898/12
below median,1/1/1899,-0.15,-0.21,1,-0.29,1899/01
below median,2/1/1899,-0.44,-0.50,1,-0.59,1899/02
below median,3/1/1899,-0.48,-0.54,1,-0.63,1899/03
below median,4/1/1899,-0.28,-0.35,1,-0.41,1899/04
below median,5/1/1899,-0.25,-0.31,1,-0.40,1899/05
below median,6/1/1899,-0.32,-0.39,1,-0.48,1899/06
below median,7/1/1899,-0.21,-0.28,1,-0.35,1899/07
below median,8/1/1899,-0.09,-0.15,1,-0.22,1899/08
below median,9/1/1899,-0.08,-0.14,1,-0.21,1899/09
below median,10/1/1899,-0.13,-0.19,1,-0.26,1899/10
above median,11/1/1899,0.10,0.03,1,-0.05,1899/11
below median,12/1/1899,-0.39,-0.46,1,-0.54,1899/12
below median,1/1/1900,-0.18,-0.25,1,-0.32,1900/01
below median,2/1/1900,-0.10,-0.16,1,-0.26,1900/02
below median,3/1/1900,-0.21,-0.28,1,-0.36,1900/03
below median,4/1/1900,-0.18,-0.25,1,-0.32,1900/04
below median,5/1/1900,-0.21,-0.28,1,-0.38,1900/05
below median,6/1/1900,-0.11,-0.18,1,-0.28,1900/06
below median,7/1/1900,-0.12,-0.19,1,-0.27,1900/07
below median,8/1/1900,-0.13,-0.18,1,-0.25,1900/08
below median,9/1/1900,-0.17,-0.22,1,-0.30,1900/09
below median,10/1/1900,0.00,-0.06,1,-0.13,1900/10
below median,11/1/1900,-0.20,-0.26,1,-0.32,1900/11
below median,12/1/1900,-0.02,-0.09,1,-0.17,1900/12
below median,1/1/1901,-0.12,-0.18,1,-0.26,1901/01
below median,2/1/1901,-0.21,-0.27,1,-0.36,1901/02
below median,3/1/1901,-0.17,-0.25,1,-0.33,1901/03
below median,4/1/1901,-0.13,-0.19,1,-0.26,1901/04
below median,5/1/1901,-0.13,-0.20,1,-0.29,1901/05
below median,6/1/1901,-0.09,-0.16,1,-0.24,1901/06
below median,7/1/1901,-0.12,-0.19,1,-0.28,1901/07
below median,8/1/1901,-0.14,-0.20,1,-0.27,1901/08
below median,9/1/1901,-0.29,-0.35,1,-0.42,1901/09
below median,10/1/1901,-0.24,-0.30,1,-0.37,1901/10
below median,11/1/1901,-0.37,-0.45,1,-0.52,1901/11
below median,12/1/1901,-0.37,-0.44,1,-0.53,1901/12
below median,1/1/1902,-0.18,-0.24,1,-0.32,1902/01
below median,2/1/1902,-0.21,-0.27,1,-0.35,1902/02
below median,3/1/1902,-0.33,-0.39,1,-0.47,1902/03
below median,4/1/1902,-0.39,-0.45,1,-0.51,1902/04
below median,5/1/1902,-0.35,-0.41,1,-0.49,1902/05
below median,6/1/1902,-0.38,-0.45,1,-0.53,1902/06
below median,7/1/1902,-0.33,-0.39,1,-0.47,1902/07
below median,8/1/1902,-0.32,-0.37,1,-0.43,1902/08
below median,9/1/1902,-0.32,-0.37,1,-0.44,1902/09
below median,10/1/1902,-0.42,-0.49,1,-0.55,1902/10
below median,11/1/1902,-0.47,-0.53,1,-0.60,1902/11
below median,12/1/1902,-0.47,-0.52,1,-0.60,1902/12
below median,1/1/1903,-0.21,-0.27,1,-0.35,1903/01
below median,2/1/1903,-0.15,-0.20,1,-0.29,1903/02
below median,3/1/1903,-0.29,-0.36,1,-0.43,1903/03
below median,4/1/1903,-0.41,-0.47,1,-0.54,1903/04
below median,5/1/1903,-0.41,-0.46,1,-0.55,1903/05
below median,6/1/1903,-0.49,-0.55,1,-0.64,1903/06
below median,7/1/1903,-0.43,-0.50,1,-0.57,1903/07
below median,8/1/1903,-0.55,-0.59,1,-0.66,1903/08
below median,9/1/1903,-0.47,-0.53,1,-0.60,1903/09
below median,10/1/1903,-0.60,-0.66,1,-0.72,1903/10
below median,11/1/1903,-0.57,-0.63,1,-0.70,1903/11
below median,12/1/1903,-0.53,-0.60,1,-0.68,1903/12
below median,1/1/1904,-0.58,-0.64,1,-0.71,1904/01
below median,2/1/1904,-0.55,-0.60,1,-0.69,1904/02
below median,3/1/1904,-0.60,-0.66,1,-0.73,1904/03
below median,4/1/1904,-0.49,-0.55,1,-0.62,1904/04
below median,5/1/1904,-0.48,-0.54,1,-0.63,1904/05
below median,6/1/1904,-0.46,-0.53,1,-0.62,1904/06
below median,7/1/1904,-0.46,-0.53,1,-0.61,1904/07
below median,8/1/1904,-0.43,-0.48,1,-0.55,1904/08
below median,9/1/1904,-0.42,-0.49,1,-0.56,1904/09
below median,10/1/1904,-0.42,-0.48,1,-0.55,1904/10
below median,11/1/1904,-0.32,-0.39,1,-0.46,1904/11
below median,12/1/1904,-0.36,-0.42,1,-0.49,1904/12
below median,1/1/1905,-0.41,-0.47,1,-0.54,1905/01
below median,2/1/1905,-0.64,-0.70,1,-0.78,1905/02
below median,3/1/1905,-0.40,-0.46,1,-0.54,1905/03
below median,4/1/1905,-0.48,-0.56,1,-0.62,1905/04
below median,5/1/1905,-0.29,-0.34,1,-0.44,1905/05
below median,6/1/1905,-0.26,-0.33,1,-0.41,1905/06
below median,7/1/1905,-0.23,-0.30,1,-0.36,1905/07
below median,8/1/1905,-0.26,-0.31,1,-0.37,1905/08
below median,9/1/1905,-0.26,-0.32,1,-0.39,1905/09
below median,10/1/1905,-0.31,-0.37,1,-0.44,1905/10
below median,11/1/1905,-0.16,-0.22,1,-0.29,1905/11
below median,12/1/1905,-0.14,-0.21,1,-0.28,1905/12
below median,1/1/1906,-0.01,-0.07,1,-0.15,1906/01
below median,2/1/1906,-0.18,-0.24,1,-0.32,1906/02
below median,3/1/1906,-0.22,-0.29,1,-0.36,1906/03
below median,4/1/1906,-0.05,-0.11,1,-0.18,1906/04
below median,5/1/1906,-0.27,-0.34,1,-0.43,1906/05
below median,6/1/1906,-0.23,-0.30,1,-0.38,1906/06
below median,7/1/1906,-0.25,-0.32,1,-0.39,1906/07
below median,8/1/1906,-0.27,-0.32,1,-0.39,1906/08
below median,9/1/1906,-0.33,-0.39,1,-0.46,1906/09
below median,10/1/1906,-0.29,-0.35,1,-0.41,1906/10
below median,11/1/1906,-0.37,-0.43,1,-0.50,1906/11
below median,12/1/1906,-0.22,-0.28,1,-0.36,1906/12
below median,1/1/1907,-0.38,-0.44,1,-0.51,1907/01
below median,2/1/1907,-0.46,-0.52,1,-0.60,1907/02
below median,3/1/1907,-0.28,-0.34,1,-0.41,1907/03
below median,4/1/1907,-0.44,-0.51,1,-0.57,1907/04
below median,5/1/1907,-0.50,-0.55,1,-0.64,1907/05
below median,6/1/1907,-0.46,-0.53,1,-0.61,1907/06
below median,7/1/1907,-0.34,-0.41,1,-0.48,1907/07
below median,8/1/1907,-0.42,-0.46,1,-0.53,1907/08
below median,9/1/1907,-0.36,-0.41,1,-0.48,1907/09
below median,10/1/1907,-0.30,-0.36,1,-0.42,1907/10
below median,11/1/1907,-0.53,-0.58,1,-0.66,1907/11
below median,12/1/1907,-0.48,-0.54,1,-0.61,1907/12
below median,1/1/1908,-0.36,-0.42,1,-0.50,1908/01
below median,2/1/1908,-0.36,-0.42,1,-0.50,1908/02
below median,3/1/1908,-0.57,-0.64,1,-0.71,1908/03
below median,4/1/1908,-0.49,-0.55,1,-0.61,1908/04
below median,5/1/1908,-0.42,-0.47,1,-0.56,1908/05
below median,6/1/1908,-0.42,-0.48,1,-0.56,1908/06
below median,7/1/1908,-0.42,-0.48,1,-0.55,1908/07
below median,8/1/1908,-0.48,-0.54,1,-0.60,1908/08
below median,9/1/1908,-0.40,-0.46,1,-0.53,1908/09
below median,10/1/1908,-0.53,-0.59,1,-0.65,1908/10
below median,11/1/1908,-0.54,-0.60,1,-0.66,1908/11
below median,12/1/1908,-0.52,-0.58,1,-0.65,1908/12
below median,1/1/1909,-0.52,-0.58,1,-0.65,1909/01
below median,2/1/1909,-0.48,-0.54,1,-0.62,1909/02
below median,3/1/1909,-0.61,-0.69,1,-0.76,1909/03
below median,4/1/1909,-0.55,-0.61,1,-0.67,1909/04
below median,5/1/1909,-0.53,-0.59,1,-0.68,1909/05
below median,6/1/1909,-0.46,-0.52,1,-0.60,1909/06
below median,7/1/1909,-0.52,-0.59,1,-0.66,1909/07
below median,8/1/1909,-0.27,-0.33,1,-0.38,1909/08
below median,9/1/1909,-0.35,-0.40,1,-0.47,1909/09
below median,10/1/1909,-0.42,-0.48,1,-0.55,1909/10
below median,11/1/1909,-0.38,-0.43,1,-0.52,1909/11
below median,12/1/1909,-0.54,-0.60,1,-0.67,1909/12
below median,1/1/1910,-0.30,-0.36,1,-0.43,1910/01
below median,2/1/1910,-0.45,-0.52,1,-0.59,1910/02
below median,3/1/1910,-0.41,-0.49,1,-0.56,1910/03
below median,4/1/1910,-0.39,-0.45,1,-0.52,1910/04
below median,5/1/1910,-0.42,-0.47,1,-0.56,1910/05
below median,6/1/1910,-0.42,-0.49,1,-0.57,1910/06
below median,7/1/1910,-0.40,-0.47,1,-0.54,1910/07
below median,8/1/1910,-0.39,-0.44,1,-0.52,1910/08
below median,9/1/1910,-0.38,-0.44,1,-0.51,1910/09
below median,10/1/1910,-0.43,-0.48,1,-0.55,1910/10
below median,11/1/1910,-0.60,-0.65,1,-0.73,1910/11
below median,12/1/1910,-0.61,-0.67,1,-0.75,1910/12
below median,1/1/1911,-0.50,-0.56,1,-0.63,1911/01
below median,2/1/1911,-0.70,-0.77,1,-0.84,1911/02
below median,3/1/1911,-0.61,-0.70,1,-0.77,1911/03
below median,4/1/1911,-0.66,-0.72,1,-0.78,1911/04
below median,5/1/1911,-0.55,-0.60,1,-0.69,1911/05
below median,6/1/1911,-0.51,-0.57,1,-0.66,1911/06
below median,7/1/1911,-0.45,-0.52,1,-0.58,1911/07
below median,8/1/1911,-0.45,-0.50,1,-0.56,1911/08
below median,9/1/1911,-0.45,-0.51,1,-0.59,1911/09
below median,10/1/1911,-0.40,-0.47,1,-0.53,1911/10
below median,11/1/1911,-0.32,-0.38,1,-0.45,1911/11
below median,12/1/1911,-0.23,-0.29,1,-0.37,1911/12
below median,1/1/1912,-0.30,-0.36,1,-0.43,1912/01
below median,2/1/1912,-0.23,-0.30,1,-0.38,1912/02
below median,3/1/1912,-0.31,-0.39,1,-0.46,1912/03
below median,4/1/1912,-0.27,-0.34,1,-0.40,1912/04
below median,5/1/1912,-0.32,-0.38,1,-0.47,1912/05
below median,6/1/1912,-0.25,-0.32,1,-0.40,1912/06
below median,7/1/1912,-0.39,-0.46,1,-0.52,1912/07
below median,8/1/1912,-0.50,-0.56,1,-0.61,1912/08
below median,9/1/1912,-0.51,-0.56,1,-0.64,1912/09
below median,10/1/1912,-0.58,-0.64,1,-0.71,1912/10
below median,11/1/1912,-0.46,-0.52,1,-0.58,1912/11
below median,12/1/1912,-0.42,-0.49,1,-0.57,1912/12
below median,1/1/1913,-0.41,-0.47,1,-0.54,1913/01
below median,2/1/1913,-0.45,-0.52,1,-0.59,1913/02
below median,3/1/1913,-0.46,-0.53,1,-0.61,1913/03
below median,4/1/1913,-0.37,-0.43,1,-0.49,1913/04
below median,5/1/1913,-0.45,-0.51,1,-0.60,1913/05
below median,6/1/1913,-0.44,-0.51,1,-0.59,1913/06
below median,7/1/1913,-0.38,-0.44,1,-0.51,1913/07
below median,8/1/1913,-0.34,-0.40,1,-0.45,1913/08
below median,9/1/1913,-0.38,-0.43,1,-0.50,1913/09
below median,10/1/1913,-0.37,-0.43,1,-0.49,1913/10
below median,11/1/1913,-0.22,-0.27,1,-0.34,1913/11
below median,12/1/1913,-0.17,-0.24,1,-0.31,1913/12
below median,1/1/1914,-0.03,-0.09,1,-0.17,1914/01
below median,2/1/1914,-0.17,-0.23,1,-0.31,1914/02
below median,3/1/1914,-0.26,-0.34,1,-0.40,1914/03
below median,4/1/1914,-0.33,-0.39,1,-0.45,1914/04
below median,5/1/1914,-0.22,-0.28,1,-0.37,1914/05
below median,6/1/1914,-0.23,-0.29,1,-0.37,1914/06
below median,7/1/1914,-0.27,-0.34,1,-0.41,1914/07
below median,8/1/1914,-0.17,-0.22,1,-0.27,1914/08
below median,9/1/1914,-0.20,-0.26,1,-0.34,1914/09
below median,10/1/1914,-0.09,-0.15,1,-0.22,1914/10
below median,11/1/1914,-0.11,-0.18,1,-0.25,1914/11
below median,12/1/1914,-0.18,-0.25,1,-0.33,1914/12
below median,1/1/1915,-0.05,-0.12,1,-0.19,1915/01
below median,2/1/1915,0.01,-0.06,1,-0.14,1915/02
below median,3/1/1915,-0.12,-0.19,1,-0.27,1915/03
below median,4/1/1915,0.00,-0.06,1,-0.12,1915/04
below median,5/1/1915,-0.15,-0.22,1,-0.32,1915/05
below median,6/1/1915,-0.15,-0.22,1,-0.31,1915/06
below median,7/1/1915,-0.04,-0.12,1,-0.19,1915/07
below median,8/1/1915,-0.01,-0.08,1,-0.15,1915/08
below median,9/1/1915,-0.08,-0.14,1,-0.22,1915/09
below median,10/1/1915,-0.19,-0.26,1,-0.33,1915/10
below median,11/1/1915,-0.07,-0.14,1,-0.21,1915/11
below median,12/1/1915,-0.19,-0.26,1,-0.33,1915/12
below median,1/1/1916,-0.17,-0.25,1,-0.32,1916/01
below median,2/1/1916,-0.12,-0.19,1,-0.27,1916/02
below median,3/1/1916,-0.33,-0.41,1,-0.47,1916/03
below median,4/1/1916,-0.27,-0.34,1,-0.41,1916/04
below median,5/1/1916,-0.29,-0.36,1,-0.46,1916/05
below median,6/1/1916,-0.40,-0.47,1,-0.56,1916/06
below median,7/1/1916,-0.30,-0.38,1,-0.45,1916/07
below median,8/1/1916,-0.28,-0.35,1,-0.41,1916/08
below median,9/1/1916,-0.28,-0.34,1,-0.42,1916/09
below median,10/1/1916,-0.33,-0.40,1,-0.48,1916/10
below median,11/1/1916,-0.51,-0.57,1,-0.64,1916/11
below median,12/1/1916,-0.56,-0.63,1,-0.71,1916/12
below median,1/1/1917,-0.61,-0.68,1,-0.76,1917/01
below median,2/1/1917,-0.68,-0.76,1,-0.84,1917/02
below median,3/1/1917,-0.74,-0.83,1,-0.90,1917/03
below median,4/1/1917,-0.42,-0.48,1,-0.54,1917/04
below median,5/1/1917,-0.59,-0.66,1,-0.76,1917/05
below median,6/1/1917,-0.28,-0.35,1,-0.44,1917/06
below median,7/1/1917,-0.04,-0.12,1,-0.20,1917/07
below median,8/1/1917,-0.15,-0.22,1,-0.28,1917/08
below median,9/1/1917,-0.06,-0.12,1,-0.20,1917/09
below median,10/1/1917,-0.32,-0.39,1,-0.47,1917/10
below median,11/1/1917,-0.33,-0.40,1,-0.48,1917/11
below median,12/1/1917,-0.56,-0.62,1,-0.71,1917/12
below median,1/1/1918,-0.43,-0.51,1,-0.60,1918/01
below median,2/1/1918,-0.45,-0.52,1,-0.61,1918/02
below median,3/1/1918,-0.36,-0.45,1,-0.52,1918/03
below median,4/1/1918,-0.42,-0.49,1,-0.55,1918/04
below median,5/1/1918,-0.35,-0.42,1,-0.53,1918/05
below median,6/1/1918,-0.25,-0.33,1,-0.42,1918/06
below median,7/1/1918,-0.26,-0.34,1,-0.43,1918/07
below median,8/1/1918,-0.30,-0.36,1,-0.43,1918/08
below median,9/1/1918,-0.17,-0.24,1,-0.33,1918/09
below median,10/1/1918,-0.03,-0.10,1,-0.18,1918/10
below median,11/1/1918,0.04,-0.03,1,-0.11,1918/11
below median,12/1/1918,-0.15,-0.23,1,-0.32,1918/12
below median,1/1/1919,-0.03,-0.10,1,-0.19,1919/01
below median,2/1/1919,0.01,-0.08,1,-0.17,1919/02
below median,3/1/1919,-0.23,-0.30,1,-0.38,1919/03
below median,4/1/1919,0.00,-0.07,1,-0.14,1919/04
below median,5/1/1919,-0.20,-0.27,1,-0.36,1919/05
below median,6/1/1919,-0.18,-0.25,1,-0.34,1919/06
below median,7/1/1919,-0.27,-0.36,1,-0.44,1919/07
below median,8/1/1919,-0.27,-0.33,1,-0.40,1919/08
below median,9/1/1919,-0.15,-0.23,1,-0.31,1919/09
below median,10/1/1919,-0.23,-0.31,1,-0.39,1919/10
below median,11/1/1919,-0.47,-0.53,1,-0.60,1919/11
below median,12/1/1919,-0.39,-0.46,1,-0.53,1919/12
below median,1/1/1920,-0.17,-0.24,1,-0.33,1920/01
below median,2/1/1920,-0.36,-0.43,1,-0.52,1920/02
below median,3/1/1920,-0.03,-0.12,1,-0.20,1920/03
below median,4/1/1920,-0.17,-0.27,1,-0.33,1920/04
below median,5/1/1920,-0.12,-0.19,1,-0.28,1920/05
below median,6/1/1920,-0.13,-0.22,1,-0.30,1920/06
below median,7/1/1920,-0.21,-0.29,1,-0.37,1920/07
below median,8/1/1920,-0.16,-0.23,1,-0.29,1920/08
below median,9/1/1920,-0.06,-0.14,1,-0.22,1920/09
below median,10/1/1920,-0.14,-0.22,1,-0.31,1920/10
below median,11/1/1920,-0.22,-0.28,1,-0.35,1920/11
below median,12/1/1920,-0.28,-0.35,1,-0.43,1920/12
below median,1/1/1921,-0.06,-0.14,1,-0.22,1921/01
below median,2/1/1921,-0.11,-0.18,1,-0.26,1921/02
below median,3/1/1921,-0.16,-0.25,1,-0.33,1921/03
below median,4/1/1921,-0.14,-0.23,1,-0.29,1921/04
below median,5/1/1921,-0.13,-0.20,1,-0.29,1921/05
below median,6/1/1921,-0.05,-0.12,1,-0.21,1921/06
below median,7/1/1921,-0.07,-0.14,1,-0.22,1921/07
below median,8/1/1921,-0.20,-0.28,1,-0.34,1921/08
below median,9/1/1921,-0.10,-0.16,1,-0.24,1921/09
below median,10/1/1921,-0.07,-0.14,1,-0.22,1921/10
below median,11/1/1921,-0.23,-0.30,1,-0.37,1921/11
below median,12/1/1921,-0.09,-0.15,1,-0.24,1921/12
below median,1/1/1922,-0.33,-0.40,1,-0.48,1922/01
below median,2/1/1922,-0.20,-0.27,1,-0.35,1922/02
below median,3/1/1922,-0.16,-0.27,1,-0.35,1922/03
below median,4/1/1922,-0.13,-0.24,1,-0.30,1922/04
below median,5/1/1922,-0.31,-0.38,1,-0.46,1922/05
below median,6/1/1922,-0.25,-0.32,1,-0.40,1922/06
below median,7/1/1922,-0.15,-0.23,1,-0.31,1922/07
below median,8/1/1922,-0.28,-0.35,1,-0.40,1922/08
below median,9/1/1922,-0.21,-0.28,1,-0.36,1922/09
