"","Education","MaritalStatus","HHIncome2"
"1241","High School","Married","55000-64999"
"1242","High School","LivePartner","<20000"
"1243","Some College","Married","75000-99999"
"1244","Some College","Married","75000-99999"
"1245","9 - 11th Grade","Married","<20000"
"1246","College Grad","Married","more 99999"
"1247","College Grad","Married","more 99999"
"1248","College Grad","Married","more 99999"
"1249","College Grad","Married","35000-44999"
"1250","College Grad","Married","35000-44999"
"1251","College Grad","Married","35000-44999"
"1252","Some College","LivePartner","more 99999"
"1253","Some College","LivePartner","more 99999"
"1254","Some College","LivePartner","more 99999"
"1255","College Grad","Married","more 99999"
"1256","High School","Married","20000-24999"
"1257","College Grad","Married","more 99999"
"1258","College Grad","Married","more 99999"
"1259","Some College","NeverMarried","75000-99999"
"1260","Some College","Married","more 99999"
"1261","Some College","Married","more 99999"
"1262","High School","Married","35000-44999"
"1263","High School","NeverMarried","75000-99999"
"1264","9 - 11th Grade","Separated","25000-34999"
"1265","9 - 11th Grade","Separated","25000-34999"
"1266","High School","Married","65000-74999"
"1267","High School","NeverMarried","more 99999"
"1268","College Grad","Married","more 99999"
"1269","College Grad","Married","more 99999"
"1270","High School","Married","75000-99999"
"1271","High School","Married","20000-24999"
"1272","College Grad","Separated","<20000"
"1273","Some College","NeverMarried","more 99999"
"1274","Some College","NeverMarried","more 99999"
"1275","College Grad","Married","more 99999"
"1276","Some College","Married","more 99999"
"1277","Some College","Married","more 99999"
"1278","Some College","Married","75000-99999"
"1279","8th Grade","Widowed","35000-44999"
"1280","Some College","Married","65000-74999"
"1281","High School","Widowed","more 99999"
"1282","9 - 11th Grade","Separated","20000-24999"
"1283","9 - 11th Grade","Separated","20000-24999"
"1284","9 - 11th Grade","Separated","20000-24999"
"1285","9 - 11th Grade","Separated","20000-24999"
"1286","High School","Married","75000-99999"
"1287","Some College","NeverMarried","35000-44999"
"1288","College Grad","Married","65000-74999"
"1289","College Grad","Married","more 99999"
"1290","College Grad","Married","more 99999"
"1291","Some College","Widowed","25000-34999"
"1292","9 - 11th Grade","Married","55000-64999"
"1293","9 - 11th Grade","Married","55000-64999"
"1294","9 - 11th Grade","Married","55000-64999"
"1295","Some College","Married","more 99999"
"1296","Some College","Married","55000-64999"
"1297","Some College","Married","55000-64999"
"1298","Some College","Married","55000-64999"
"1299","8th Grade","Widowed","<20000"
"1300","High School","NeverMarried","55000-64999"
"1301","High School","NeverMarried","55000-64999"
"1302","High School","NeverMarried","55000-64999"
"1303","Some College","Married","45000-54999"
"1304","College Grad","Married","more 99999"
"1305","College Grad","NeverMarried","25000-34999"
"1306","College Grad","NeverMarried","25000-34999"
"1307","College Grad","NeverMarried","25000-34999"
"1308","College Grad","NeverMarried","25000-34999"
"1309","College Grad","NeverMarried","25000-34999"
"1310","College Grad","NeverMarried","<20000"
"1311","College Grad","NeverMarried","<20000"
"1312","Some College","Married","more 99999"
"1313","Some College","Married","more 99999"
"1314","Some College","Married","more 99999"
"1315","High School","Widowed","45000-54999"
"1316","Some College","Married","25000-34999"
"1317","Some College","Married","25000-34999"
"1318","Some College","Married","25000-34999"
"1319","9 - 11th Grade","Divorced","20000-24999"
"1320","College Grad","Married","more 99999"
"1321","Some College","Married","35000-44999"
"1322","8th Grade","Married","20000-24999"
"1323","High School","LivePartner","25000-34999"
"1324","High School","Divorced","25000-34999"
"1325","High School","Divorced","25000-34999"
"1326","High School","NeverMarried","<20000"
"1327","High School","NeverMarried","<20000"
"1328","High School","NeverMarried","<20000"
"1329","High School","NeverMarried","<20000"
"1330","8th Grade","Widowed","25000-34999"
"1331","High School","NeverMarried","<20000"
"1332","9 - 11th Grade","Married","20000-24999"
"1333","High School","Married","75000-99999"
"1334","High School","Widowed","more 99999"
"1335","High School","Married","<20000"
"1336","High School","Married","<20000"
"1337","Some College","NeverMarried","55000-64999"
"1338","Some College","NeverMarried","55000-64999"
"1339","Some College","NeverMarried","55000-64999"
"1340","Some College","Married","65000-74999"
"1341","Some College","Married","65000-74999"
"1342","8th Grade","Married","25000-34999"
"1343","High School","Married","35000-44999"
"1344","High School","NeverMarried","25000-34999"
"1345","High School","NeverMarried","25000-34999"
"1346","Some College","NeverMarried","<20000"
"1347","College Grad","Married","more 99999"
"1348","College Grad","Married","more 99999"
"1349","Some College","Married","25000-34999"
"1350","8th Grade","Married","20000-24999"
"1351","Some College","Married","25000-34999"
"1352","College Grad","Married","more 99999"
"1353","College Grad","Married","65000-74999"
"1354","College Grad","Married","75000-99999"
"1355","College Grad","Married","75000-99999"
"1356","High School","Married","25000-34999"
"1357","Some College","Married","45000-54999"
"1358","Some College","Married","45000-54999"
"1359","Some College","Married","45000-54999"
"1360","High School","Married","more 99999"
"1361","High School","Married","more 99999"
"1362","High School","Married","more 99999"
"1363","High School","Married","more 99999"
"1364","Some College","NeverMarried","<20000"
"1365","High School","LivePartner","65000-74999"
"1366","High School","Separated","20000-24999"
"1367","College Grad","NeverMarried","more 99999"
"1368","Some College","Married","55000-64999"
"1369","Some College","Married","55000-64999"
"1370","Some College","LivePartner","25000-34999"
"1371","College Grad","Divorced","45000-54999"
"1372","College Grad","Divorced","45000-54999"
"1373","Some College","Married","35000-44999"
"1374","High School","Divorced","25000-34999"
"1375","High School","Divorced","25000-34999"
"1376","High School","Divorced","25000-34999"
"1377","High School","Divorced","25000-34999"
"1378","Some College","Divorced","35000-44999"
"1379","Some College","Divorced","35000-44999"
"1380","Some College","Married","55000-64999"
"1381","High School","NeverMarried","45000-54999"
"1382","High School","Married","25000-34999"
"1383","High School","Married","25000-34999"
"1384","College Grad","LivePartner","more 99999"
"1385","College Grad","LivePartner","more 99999"
"1386","Some College","Married","35000-44999"
"1387","9 - 11th Grade","NeverMarried","75000-99999"
"1388","9 - 11th Grade","NeverMarried","75000-99999"
"1389","9 - 11th Grade","NeverMarried","75000-99999"
"1390","9 - 11th Grade","NeverMarried","75000-99999"
"1391","High School","Divorced","25000-34999"
"1392","College Grad","NeverMarried","55000-64999"
"1393","College Grad","NeverMarried","55000-64999"
"1394","High School","Divorced","45000-54999"
"1395","9 - 11th Grade","Separated","20000-24999"
"1396","8th Grade","Widowed","45000-54999"
"1397","Some College","NeverMarried","25000-34999"
"1398","Some College","NeverMarried","25000-34999"
"1399","8th Grade","Widowed","<20000"
"1400","High School","LivePartner","25000-34999"
"1401","9 - 11th Grade","LivePartner","<20000"
"1402","High School","LivePartner","25000-34999"
"1403","College Grad","Married","more 99999"
"1404","College Grad","Married","more 99999"
"1405","Some College","Married","25000-34999"
"1406","Some College","Married","65000-74999"
"1407","High School","LivePartner","65000-74999"
"1408","Some College","Divorced","<20000"
"1409","Some College","Married","55000-64999"
"1410","Some College","NeverMarried","20000-24999"
"1411","Some College","NeverMarried","20000-24999"
"1412","Some College","NeverMarried","20000-24999"
"1413","9 - 11th Grade","Divorced","25000-34999"
"1414","Some College","Married","<20000"
"1415","Some College","Married","<20000"
"1416","College Grad","Married","more 99999"
"1417","Some College","Separated","<20000"
"1418","Some College","Widowed","<20000"
"1419","College Grad","NeverMarried","more 99999"
"1420","College Grad","Married","more 99999"
"1421","College Grad","Married","more 99999"
"1422","High School","Divorced","65000-74999"
"1423","College Grad","Married","more 99999"
"1424","9 - 11th Grade","NeverMarried","75000-99999"
"1425","High School","NeverMarried","20000-24999"
"1426","College Grad","Married","55000-64999"
"1427","Some College","NeverMarried","55000-64999"
"1428","Some College","Divorced","25000-34999"
"1429","Some College","Divorced","25000-34999"
"1430","College Grad","Married","55000-64999"
"1431","College Grad","Married","more 99999"
"1432","Some College","NeverMarried","65000-74999"
"1433","9 - 11th Grade","Married","65000-74999"
"1434","8th Grade","Married","35000-44999"
"1435","Some College","LivePartner","75000-99999"
"1436","High School","NeverMarried","20000-24999"
"1437","College Grad","Married","more 99999"
"1438","College Grad","Divorced","more 99999"
"1439","Some College","Divorced","<20000"
"1440","9 - 11th Grade","Divorced","<20000"
"1441","Some College","Married","20000-24999"
"1442","High School","Divorced","<20000"
"1443","Some College","Married","more 99999"
"1444","College Grad","LivePartner","more 99999"
"1445","High School","Married","45000-54999"
"1446","Some College","LivePartner","<20000"
"1447","8th Grade","Separated","35000-44999"
"1448","8th Grade","Separated","35000-44999"
"1449","8th Grade","Separated","35000-44999"
"1450","Some College","NeverMarried","<20000"
"1451","College Grad","Married","more 99999"
"1452","Some College","Separated","more 99999"
"1453","College Grad","Married","more 99999"
"1454","College Grad","Married","more 99999"
"1455","College Grad","Married","more 99999"
"1456","High School","Married","<20000"
"1457","Some College","Separated","<20000"
"1458","Some College","Widowed","20000-24999"
"1459","Some College","Widowed","20000-24999"
"1460","Some College","Separated","<20000"
"1461","Some College","Separated","<20000"
"1462","High School","Married","55000-64999"
"1463","High School","Married","55000-64999"
"1464","8th Grade","Married","65000-74999"
"1465","8th Grade","Married","65000-74999"
"1466","8th Grade","Married","65000-74999"
"1467","8th Grade","Married","<20000"
"1468","High School","Married","35000-44999"
"1469","9 - 11th Grade","LivePartner","<20000"
"1470","9 - 11th Grade","LivePartner","<20000"
"1471","Some College","Married","75000-99999"
"1472","High School","Married","45000-54999"
"1473","High School","Married","45000-54999"
"1474","High School","Married","45000-54999"
"1475","9 - 11th Grade","LivePartner","35000-44999"
"1476","8th Grade","Married","35000-44999"
"1477","Some College","Married","55000-64999"
"1478","Some College","Married","55000-64999"
"1479","Some College","Married","55000-64999"
"1480","Some College","Married","55000-64999"
"1481","Some College","NeverMarried","25000-34999"
"1482","Some College","NeverMarried","20000-24999"
"1483","8th Grade","Married","20000-24999"
"1484","College Grad","LivePartner","more 99999"
"1485","College Grad","LivePartner","more 99999"
"1486","Some College","Married","45000-54999"
"1487","Some College","Married","more 99999"
"1488","Some College","Married","more 99999"
"1489","Some College","Married","65000-74999"
"1490","Some College","Married","65000-74999"
"1491","Some College","Married","35000-44999"
"1492","Some College","Married","35000-44999"
"1493","College Grad","Married","20000-24999"
"1494","College Grad","Married","20000-24999"
"1495","Some College","Divorced","25000-34999"
"1496","9 - 11th Grade","Divorced","<20000"
"1497","Some College","NeverMarried","75000-99999"
"1498","Some College","NeverMarried","75000-99999"
"1499","Some College","NeverMarried","75000-99999"
"1500","College Grad","NeverMarried","45000-54999"
"1501","College Grad","NeverMarried","20000-24999"
"1502","9 - 11th Grade","Widowed","45000-54999"
"1503","9 - 11th Grade","Married","25000-34999"
"1504","College Grad","Widowed","more 99999"
"1505","College Grad","Widowed","more 99999"
"1506","9 - 11th Grade","Married","more 99999"
"1507","College Grad","Married","more 99999"
"1508","Some College","Married","more 99999"
"1509","High School","Separated","45000-54999"
"1510","8th Grade","Married","<20000"
"1511","College Grad","Married","75000-99999"
"1512","College Grad","Married","75000-99999"
"1513","9 - 11th Grade","Married","55000-64999"
"1514","College Grad","Married","75000-99999"
"1515","Some College","Divorced","20000-24999"
"1516","Some College","Divorced","20000-24999"
"1517","College Grad","NeverMarried","25000-34999"
"1518","College Grad","Divorced","more 99999"
"1519","High School","Married","35000-44999"
"1520","High School","Married","35000-44999"
"1521","High School","Married","35000-44999"
"1522","College Grad","LivePartner","more 99999"
"1523","9 - 11th Grade","Married","75000-99999"
"1524","9 - 11th Grade","Married","75000-99999"
"1525","9 - 11th Grade","Married","75000-99999"
"1526","College Grad","Married","55000-64999"
"1527","College Grad","Married","55000-64999"
"1528","High School","NeverMarried","<20000"
"1529","High School","NeverMarried","<20000"
"1530","High School","NeverMarried","<20000"
"1531","High School","NeverMarried","25000-34999"
"1532","High School","NeverMarried","25000-34999"
"1533","8th Grade","Widowed","<20000"
"1534","College Grad","Married","45000-54999"
"1535","Some College","Married","55000-64999"
"1536","8th Grade","Married","more 99999"
"1537","High School","LivePartner","55000-64999"
"1538","College Grad","Widowed","<20000"
"1539","Some College","Divorced","25000-34999"
"1540","Some College","Divorced","25000-34999"
"1541","Some College","Divorced","25000-34999"
"1542","High School","NeverMarried","<20000"
"1543","High School","Married","75000-99999"
"1544","Some College","Divorced","45000-54999"
"1545","Some College","Divorced","45000-54999"
"1546","College Grad","NeverMarried","20000-24999"
"1547","College Grad","Divorced","more 99999"
"1548","College Grad","Divorced","more 99999"
"1549","8th Grade","Married","35000-44999"
"1550","Some College","Widowed","25000-34999"
"1551","Some College","Widowed","25000-34999"
"1552","Some College","NeverMarried","25000-34999"
"1553","Some College","Married","75000-99999"
"1554","8th Grade","Married","<20000"
"1555","8th Grade","Separated","75000-99999"
"1556","9 - 11th Grade","Married","20000-24999"
"1557","Some College","Married","55000-64999"
"1558","High School","Widowed","20000-24999"
"1559","College Grad","Married","more 99999"
"1560","College Grad","Married","more 99999"
"1561","College Grad","Married","more 99999"
"1562","College Grad","NeverMarried","25000-34999"
"1563","High School","LivePartner","20000-24999"
"1564","High School","LivePartner","20000-24999"
"1565","9 - 11th Grade","Married","45000-54999"
"1566","College Grad","NeverMarried","65000-74999"
"1567","College Grad","Married","55000-64999"
"1568","High School","NeverMarried","<20000"
"1569","Some College","NeverMarried","more 99999"
"1570","College Grad","Married","more 99999"
"1571","College Grad","Married","more 99999"
"1572","College Grad","Married","more 99999"
"1573","College Grad","Married","75000-99999"
"1574","8th Grade","Married","<20000"
"1575","High School","Married","20000-24999"
"1576","8th Grade","Married","35000-44999"
"1577","Some College","Divorced","20000-24999"
"1578","High School","Married","35000-44999"
"1579","High School","Married","35000-44999"
"1580","High School","Married","35000-44999"
"1581","Some College","Married","65000-74999"
"1582","Some College","Married","65000-74999"
"1583","8th Grade","LivePartner","35000-44999"
"1584","9 - 11th Grade","Married","55000-64999"
"1585","Some College","Married","more 99999"
"1586","Some College","Married","more 99999"
"1587","8th Grade","Widowed","<20000"
"1588","College Grad","Married","more 99999"
"1589","College Grad","Married","more 99999"
"1590","College Grad","Married","more 99999"
"1591","College Grad","Married","65000-74999"
"1592","Some College","Married","more 99999"
"1593","Some College","Married","more 99999"
"1594","Some College","Divorced","45000-54999"
"1595","College Grad","LivePartner","more 99999"
"1596","8th Grade","Married","25000-34999"
"1597","8th Grade","Married","<20000"
"1598","8th Grade","Married","<20000"
"1599","College Grad","Married","35000-44999"
"1600","High School","NeverMarried","<20000"
"1601","High School","NeverMarried","<20000"
"1602","College Grad","Married","more 99999"
"1603","High School","Widowed","25000-34999"
"1604","9 - 11th Grade","Married","<20000"
"1605","High School","Married","45000-54999"
"1606","8th Grade","Married","<20000"
"1607","High School","Married","75000-99999"
"1608","High School","NeverMarried","<20000"
"1609","Some College","Married","more 99999"
"1610","High School","Married","<20000"
"1611","8th Grade","Married","20000-24999"
"1612","9 - 11th Grade","Married","25000-34999"
"1613","Some College","NeverMarried","<20000"
"1614","College Grad","Married","more 99999"
"1615","Some College","Married","25000-34999"
"1616","9 - 11th Grade","Married","20000-24999"
"1617","High School","Married","more 99999"
"1618","College Grad","Married","25000-34999"
"1619","College Grad","Married","25000-34999"
"1620","College Grad","Married","45000-54999"
"1621","College Grad","Married","45000-54999"
"1622","College Grad","Married","45000-54999"
"1623","High School","Married","35000-44999"
"1624","High School","Married","35000-44999"
"1625","High School","Married","35000-44999"
"1626","High School","Married","35000-44999"
"1627","College Grad","NeverMarried","35000-44999"
"1628","College Grad","Widowed","<20000"
"1629","Some College","Married","more 99999"
"1630","Some College","Married","more 99999"
"1631","Some College","Married","more 99999"
"1632","College Grad","LivePartner","more 99999"
"1633","9 - 11th Grade","Widowed","25000-34999"
"1634","9 - 11th Grade","Widowed","25000-34999"
"1635","9 - 11th Grade","Widowed","25000-34999"
"1636","Some College","Divorced","<20000"
"1637","College Grad","Married","65000-74999"
"1638","High School","LivePartner","45000-54999"
"1639","Some College","Widowed","35000-44999"
"1640","9 - 11th Grade","Married","<20000"
"1641","9 - 11th Grade","Divorced","55000-64999"
"1642","9 - 11th Grade","Divorced","55000-64999"
"1643","College Grad","Married","65000-74999"
"1644","Some College","Married","35000-44999"
"1645","Some College","Married","35000-44999"
"1646","9 - 11th Grade","Divorced","<20000"
"1647","8th Grade","Married","<20000"
"1648","Some College","Married","<20000"
"1649","College Grad","Married","75000-99999"
"1650","College Grad","Married","75000-99999"
"1651","College Grad","Married","35000-44999"
"1652","College Grad","Married","65000-74999"
"1653","College Grad","Married","35000-44999"
"1654","High School","Married","more 99999"
"1655","9 - 11th Grade","Divorced","<20000"
"1656","Some College","Married","35000-44999"
"1657","Some College","NeverMarried","more 99999"
"1658","9 - 11th Grade","Married","35000-44999"
"1659","9 - 11th Grade","Married","35000-44999"
"1660","9 - 11th Grade","Married","<20000"
"1661","9 - 11th Grade","Married","<20000"
"1662","9 - 11th Grade","Married","<20000"
"1663","9 - 11th Grade","NeverMarried","<20000"
"1664","College Grad","Married","more 99999"
"1665","High School","Married","25000-34999"
"1666","High School","Married","25000-34999"
"1667","College Grad","Married","25000-34999"
"1668","High School","Married","<20000"
"1669","College Grad","Married","75000-99999"
"1670","9 - 11th Grade","Married","75000-99999"
"1671","High School","Married","more 99999"
"1672","High School","NeverMarried","20000-24999"
"1673","High School","NeverMarried","<20000"
"1674","College Grad","Married","more 99999"
"1675","High School","Married","20000-24999"
"1676","High School","Married","75000-99999"
"1677","High School","Married","25000-34999"
"1678","Some College","Divorced","<20000"
"1679","Some College","Divorced","<20000"
"1680","9 - 11th Grade","Married","20000-24999"
"1681","Some College","NeverMarried","20000-24999"
"1682","High School","Married","<20000"
"1683","8th Grade","Married","<20000"
"1684","8th Grade","Married","<20000"
"1685","Some College","Married","75000-99999"
"1686","Some College","NeverMarried","55000-64999"
"1687","Some College","Divorced","35000-44999"
"1688","Some College","Divorced","35000-44999"
"1689","Some College","Divorced","35000-44999"
"1690","Some College","Divorced","35000-44999"
"1691","8th Grade","Married","25000-34999"
"1692","Some College","NeverMarried","20000-24999"
"1693","High School","Widowed","25000-34999"
"1694","Some College","Married","35000-44999"
"1695","Some College","Widowed","25000-34999"
"1696","College Grad","NeverMarried","75000-99999"
"1697","College Grad","NeverMarried","75000-99999"
"1698","High School","Married","25000-34999"
"1699","9 - 11th Grade","LivePartner","25000-34999"
"1700","9 - 11th Grade","LivePartner","45000-54999"
"1701","Some College","Married","45000-54999"
"1702","Some College","Married","45000-54999"
"1703","Some College","Married","45000-54999"
"1704","8th Grade","LivePartner","<20000"
"1705","High School","LivePartner","55000-64999"
"1706","Some College","Married","more 99999"
"1707","Some College","Married","more 99999"
"1708","Some College","LivePartner","more 99999"
"1709","Some College","NeverMarried","more 99999"
"1710","Some College","Married","45000-54999"
"1711","High School","Married","more 99999"
"1712","College Grad","Married","65000-74999"
"1713","College Grad","Married","65000-74999"
"1714","College Grad","Married","65000-74999"
"1715","College Grad","Married","65000-74999"
"1716","High School","Widowed","35000-44999"
"1717","College Grad","LivePartner","more 99999"
"1718","College Grad","LivePartner","more 99999"
"1719","College Grad","Married","75000-99999"
"1720","High School","Married","more 99999"
"1721","High School","Married","more 99999"
"1722","High School","Married","more 99999"
"1723","High School","Married","more 99999"
"1724","High School","Married","more 99999"
"1725","9 - 11th Grade","Separated","<20000"
"1726","8th Grade","Married","20000-24999"
"1727","College Grad","Married","more 99999"
"1728","College Grad","Married","more 99999"
"1729","Some College","Married","55000-64999"
"1730","High School","Divorced","more 99999"
"1731","College Grad","NeverMarried","75000-99999"
"1732","High School","Married","more 99999"
"1733","9 - 11th Grade","Married","55000-64999"
"1734","College Grad","Married","75000-99999"
"1735","Some College","Married","20000-24999"
"1736","Some College","Married","20000-24999"
"1737","Some College","Married","20000-24999"
"1738","Some College","Married","<20000"
"1739","Some College","Married","<20000"
"1740","High School","Divorced","20000-24999"
"1741","High School","Divorced","20000-24999"
"1742","High School","LivePartner","45000-54999"
"1743","High School","Married","35000-44999"
"1744","High School","Married","35000-44999"
"1745","High School","Married","35000-44999"
"1746","8th Grade","Married","35000-44999"
"1747","Some College","Married","25000-34999"
"1748","Some College","NeverMarried","65000-74999"
"1749","Some College","NeverMarried","65000-74999"
"1750","Some College","NeverMarried","65000-74999"
"1751","8th Grade","LivePartner","25000-34999"
"1752","High School","Married","45000-54999"
"1753","Some College","Married","65000-74999"
"1754","Some College","Married","65000-74999"
"1755","College Grad","Married","65000-74999"
"1756","Some College","Married","20000-24999"
"1757","College Grad","Married","more 99999"
"1758","College Grad","Married","more 99999"
"1759","College Grad","Married","more 99999"
"1760","College Grad","Married","more 99999"
"1761","9 - 11th Grade","NeverMarried","25000-34999"
"1762","9 - 11th Grade","NeverMarried","25000-34999"
"1763","High School","Married","20000-24999"
"1764","College Grad","Widowed","45000-54999"
"1765","Some College","LivePartner","45000-54999"
"1766","College Grad","NeverMarried","55000-64999"
"1767","Some College","Widowed","<20000"
"1768","Some College","Separated","<20000"
"1769","College Grad","Divorced","75000-99999"
"1770","High School","Married","65000-74999"
"1771","8th Grade","Divorced","<20000"
"1772","Some College","Married","75000-99999"
"1773","Some College","Married","75000-99999"
"1774","Some College","Married","75000-99999"
"1775","Some College","Married","75000-99999"
"1776","Some College","Married","75000-99999"
"1777","Some College","Married","55000-64999"
"1778","Some College","Married","55000-64999"
"1779","College Grad","Married","more 99999"
"1780","College Grad","Married","more 99999"
"1781","Some College","Divorced","<20000"
"1782","College Grad","Married","75000-99999"
"1783","College Grad","Married","75000-99999"
"1784","Some College","Married","35000-44999"
"1785","High School","LivePartner","20000-24999"
"1786","High School","LivePartner","20000-24999"
"1787","High School","LivePartner","20000-24999"
"1788","College Grad","Married","more 99999"
"1789","9 - 11th Grade","Married","25000-34999"
"1790","Some College","Married","55000-64999"
"1791","Some College","Married","55000-64999"
"1792","Some College","Married","55000-64999"
"1793","College Grad","Married","more 99999"
"1794","Some College","NeverMarried","<20000"
"1795","College Grad","Widowed","75000-99999"
"1796","Some College","Married","more 99999"
"1797","Some College","Married","more 99999"
"1798","9 - 11th Grade","NeverMarried","35000-44999"
"1799","9 - 11th Grade","NeverMarried","35000-44999"
"1800","9 - 11th Grade","NeverMarried","35000-44999"
"1801","Some College","Married","more 99999"
"1802","Some College","Separated","75000-99999"
"1803","High School","LivePartner","<20000"
"1804","High School","LivePartner","<20000"
"1805","9 - 11th Grade","Widowed","25000-34999"
"1806","Some College","NeverMarried","more 99999"
"1807","9 - 11th Grade","Separated","25000-34999"
"1808","Some College","Divorced","<20000"
"1809","Some College","Married","35000-44999"
"1810","9 - 11th Grade","NeverMarried","<20000"
"1811","9 - 11th Grade","NeverMarried","<20000"
"1812","High School","Married","55000-64999"
"1813","College Grad","Married","65000-74999"
"1814","Some College","Married","25000-34999"
"1815","College Grad","NeverMarried","75000-99999"
"1816","Some College","NeverMarried","75000-99999"
"1817","Some College","NeverMarried","75000-99999"
"1818","Some College","NeverMarried","75000-99999"
"1819","Some College","NeverMarried","75000-99999"
"1820","Some College","Married","75000-99999"
"1821","Some College","LivePartner","55000-64999"
"1822","Some College","Divorced","45000-54999"
"1823","9 - 11th Grade","Married","<20000"
"1824","9 - 11th Grade","Married","<20000"
"1825","9 - 11th Grade","Married","<20000"
"1826","Some College","Married","75000-99999"
"1827","Some College","Married","75000-99999"
"1828","Some College","Married","75000-99999"
"1829","Some College","Married","more 99999"
"1830","High School","Widowed","<20000"
"1831","College Grad","Married","75000-99999"
"1832","College Grad","Married","75000-99999"
"1833","Some College","Married","more 99999"
"1834","High School","Separated","more 99999"
"1835","College Grad","Married","more 99999"
"1836","College Grad","Married","more 99999"
"1837","High School","Married","more 99999"
"1838","High School","Married","more 99999"
"1839","College Grad","Married","more 99999"
"1840","Some College","Married","75000-99999"
"1841","Some College","Married","75000-99999"
"1842","Some College","Married","75000-99999"
"1843","High School","NeverMarried","more 99999"
"1844","High School","NeverMarried","more 99999"
"1845","High School","NeverMarried","more 99999"
"1846","High School","NeverMarried","more 99999"
"1847","College Grad","Married","more 99999"
"1848","High School","NeverMarried","35000-44999"
"1849","Some College","Married","75000-99999"
"1850","College Grad","Married","more 99999"
"1851","College Grad","Married","more 99999"
"1852","College Grad","Married","more 99999"
"1853","High School","NeverMarried","<20000"
"1854","High School","NeverMarried","<20000"
"1855","High School","NeverMarried","<20000"
"1856","High School","Separated","<20000"
"1857","High School","Married","55000-64999"
"1858","High School","Married","55000-64999"
"1859","College Grad","Married","45000-54999"
"1860","College Grad","Married","45000-54999"
"1861","9 - 11th Grade","NeverMarried","<20000"
"1862","9 - 11th Grade","Divorced","75000-99999"
"1863","9 - 11th Grade","Divorced","75000-99999"
"1864","College Grad","Married","65000-74999"
"1865","Some College","Married","<20000"
"1866","College Grad","Married","25000-34999"
"1867","College Grad","Married","more 99999"
"1868","College Grad","Married","more 99999"
"1869","Some College","Divorced","20000-24999"
"1870","College Grad","Married","more 99999"
"1871","College Grad","Married","more 99999"
"1872","College Grad","Married","25000-34999"
"1873","College Grad","Divorced","35000-44999"
"1874","College Grad","Divorced","35000-44999"
"1875","Some College","Married","more 99999"
"1876","College Grad","Married","more 99999"
"1877","College Grad","Married","more 99999"
"1878","High School","NeverMarried","20000-24999"
"1879","College Grad","Married","more 99999"
"1880","Some College","Widowed","20000-24999"
"1881","Some College","Married","75000-99999"
"1882","Some College","Married","75000-99999"
"1883","High School","Divorced","<20000"
"1884","8th Grade","LivePartner","55000-64999"
"1885","High School","NeverMarried","<20000"
"1886","Some College","Divorced","20000-24999"
"1887","College Grad","Married","75000-99999"
"1888","College Grad","Married","75000-99999"
"1889","College Grad","Divorced","35000-44999"
"1890","Some College","NeverMarried","<20000"
"1891","Some College","NeverMarried","<20000"
"1892","9 - 11th Grade","Married","75000-99999"
"1893","9 - 11th Grade","Married","75000-99999"
"1894","College Grad","Married","45000-54999"
"1895","College Grad","Married","45000-54999"
"1896","College Grad","Married","45000-54999"
"1897","High School","Widowed","<20000"
"1898","High School","Married","35000-44999"
"1899","High School","Married","35000-44999"
"1900","High School","Married","35000-44999"
"1901","College Grad","Married","more 99999"
"1902","8th Grade","LivePartner","<20000"
"1903","9 - 11th Grade","NeverMarried","75000-99999"
"1904","High School","Married","35000-44999"
"1905","High School","Married","35000-44999"
"1906","High School","Divorced","35000-44999"
"1907","High School","Divorced","35000-44999"
"1908","High School","Divorced","35000-44999"
"1909","High School","Divorced","35000-44999"
"1910","High School","Divorced","35000-44999"
"1911","Some College","Married","55000-64999"
"1912","High School","Married","75000-99999"
"1913","High School","Divorced","65000-74999"
"1914","High School","Divorced","65000-74999"
"1915","High School","Divorced","45000-54999"
"1916","High School","Divorced","45000-54999"
"1917","High School","Divorced","45000-54999"
"1918","Some College","Divorced","55000-64999"
"1919","Some College","Divorced","55000-64999"
"1920","Some College","Divorced","55000-64999"
"1921","Some College","Divorced","55000-64999"
"1922","College Grad","NeverMarried","55000-64999"
"1923","High School","Married","75000-99999"
"1924","High School","Married","75000-99999"
"1925","College Grad","NeverMarried","55000-64999"
"1926","College Grad","NeverMarried","55000-64999"
"1927","College Grad","NeverMarried","75000-99999"
"1928","College Grad","NeverMarried","75000-99999"
"1929","High School","Married","more 99999"
"1930","High School","Married","more 99999"
"1931","Some College","NeverMarried","35000-44999"
"1932","College Grad","Married","55000-64999"
"1933","College Grad","Divorced","more 99999"
"1934","High School","Widowed","<20000"
"1935","College Grad","Married","75000-99999"
"1936","College Grad","Married","75000-99999"
"1937","Some College","Married","more 99999"
"1938","Some College","Married","more 99999"
"1939","9 - 11th Grade","LivePartner","20000-24999"
"1940","Some College","Divorced","35000-44999"
"1941","Some College","Divorced","35000-44999"
"1942","Some College","Divorced","35000-44999"
"1943","College Grad","LivePartner","20000-24999"
"1944","College Grad","LivePartner","20000-24999"
"1945","Some College","Married","65000-74999"
"1946","High School","NeverMarried","45000-54999"
"1947","High School","NeverMarried","45000-54999"
"1948","College Grad","Married","more 99999"
"1949","College Grad","Married","more 99999"
"1950","College Grad","Widowed","25000-34999"
"1951","College Grad","Married","75000-99999"
"1952","High School","NeverMarried","75000-99999"
"1953","High School","NeverMarried","75000-99999"
